code,kind,name,floor,room_type,external_id
101,guest_room,Room 101,1,KACC,
102,guest_room,Room 102,1,KACC,
103,guest_room,Room 103,1,KACC,
104,guest_room,Room 104,1,KACC,
105,guest_room,Room 105,1,TQNN,
106,guest_room,Room 106,1,KNGN,
107,guest_room,Room 107,1,KWHN,
108,guest_room,Room 108,1,TQNN,
109,guest_room,Room 109,1,KNGN,
110,guest_room,Room 110,1,KWHN,
111,guest_room,Room 111,1,TQNN,
112,guest_room,Room 112,1,KNGN,
113,guest_room,Room 113,1,KWHN,
114,guest_room,Room 114,1,TQNN,
115,guest_room,Room 115,1,KNGN,
116,guest_room,Room 116,1,KWHN,
117,guest_room,Room 117,1,TQNN,
118,guest_room,Room 118,1,KNGN,
119,guest_room,Room 119,1,KWHN,
120,guest_room,Room 120,1,TQNN,
201,guest_room,Room 201,2,KWHN,
202,guest_room,Room 202,2,TQNN,
203,guest_room,Room 203,2,KNGN,
204,guest_room,Room 204,2,KWHN,
205,guest_room,Room 205,2,TQNN,
206,guest_room,Room 206,2,KNGN,
207,guest_room,Room 207,2,KWHN,
208,guest_room,Room 208,2,TQNN,
209,guest_room,Room 209,2,KNGN,
210,guest_room,Room 210,2,KWHN,
211,guest_room,Room 211,2,TQNN,
212,guest_room,Room 212,2,KNGN,
213,guest_room,Room 213,2,KWHN,
214,guest_room,Room 214,2,TQNN,
215,guest_room,Room 215,2,KNGN,
216,guest_room,Room 216,2,KWHN,
217,guest_room,Room 217,2,TQNN,
218,guest_room,Room 218,2,KNGN,
219,guest_room,Room 219,2,KWHN,
220,guest_room,Room 220,2,TQNN,
301,guest_room,Room 301,3,KWHN,
302,guest_room,Room 302,3,TQNN,
303,guest_room,Room 303,3,KNGN,
304,guest_room,Room 304,3,KWHN,
305,guest_room,Room 305,3,TQNN,
306,guest_room,Room 306,3,KNGN,
307,guest_room,Room 307,3,KWHN,
308,guest_room,Room 308,3,TQNN,
309,guest_room,Room 309,3,KNGN,
310,guest_room,Room 310,3,KWHN,
311,guest_room,Room 311,3,TQNN,
312,guest_room,Room 312,3,KNGN,
313,guest_room,Room 313,3,KWHN,
314,guest_room,Room 314,3,TQNN,
315,guest_room,Room 315,3,KNGN,
316,guest_room,Room 316,3,KWHN,
317,guest_room,Room 317,3,TQNN,
318,guest_room,Room 318,3,KNGN,
319,guest_room,Room 319,3,KWHN,
320,guest_room,Room 320,3,TQNN,
401,guest_room,Room 401,4,KWHN,
402,guest_room,Room 402,4,TQNN,
403,guest_room,Room 403,4,KNGN,
404,guest_room,Room 404,4,KWHN,
405,guest_room,Room 405,4,TQNN,
406,guest_room,Room 406,4,KNGN,
407,guest_room,Room 407,4,KWHN,
408,guest_room,Room 408,4,TQNN,
409,guest_room,Room 409,4,KNGN,
410,guest_room,Room 410,4,KWHN,
411,guest_room,Room 411,4,TQNN,
412,guest_room,Room 412,4,KNGN,
413,guest_room,Room 413,4,KWHN,
414,guest_room,Room 414,4,TQNN,
415,guest_room,Room 415,4,KNGN,
416,guest_room,Room 416,4,KWHN,
417,guest_room,Room 417,4,TQNN,
418,guest_room,Room 418,4,KNGN,
419,guest_room,Room 419,4,KWHN,
420,guest_room,Room 420,4,TQNN,
501,guest_room,Room 501,5,KWHN,
502,guest_room,Room 502,5,TQNN,
503,guest_room,Room 503,5,KNGN,
504,guest_room,Room 504,5,KWHN,
505,guest_room,Room 505,5,TQNN,
506,guest_room,Room 506,5,KNGN,
507,guest_room,Room 507,5,KWHN,
508,guest_room,Room 508,5,TQNN,
509,guest_room,Room 509,5,KNGN,
510,guest_room,Room 510,5,KWHN,
511,guest_room,Room 511,5,TQNN,
512,guest_room,Room 512,5,KNGN,
513,guest_room,Room 513,5,KWHN,
514,guest_room,Room 514,5,TQNN,
515,guest_room,Room 515,5,KNGN,
516,guest_room,Room 516,5,KWHN,
517,guest_room,Room 517,5,TQNN,
518,guest_room,Room 518,5,KNGN,
519,guest_room,Room 519,5,KWHN,
520,guest_room,Room 520,5,TQNN,
601,guest_room,Room 601,6,KSTE,
602,guest_room,Room 602,6,TQNN,
603,guest_room,Room 603,6,KNGN,
604,guest_room,Room 604,6,KWHN,
605,guest_room,Room 605,6,TQNN,
606,guest_room,Room 606,6,KNGN,
607,guest_room,Room 607,6,KWHN,
608,guest_room,Room 608,6,TQNN,
609,guest_room,Room 609,6,KNGN,
610,guest_room,Room 610,6,KWHN,
611,guest_room,Room 611,6,TQNN,
612,guest_room,Room 612,6,KNGN,
613,guest_room,Room 613,6,KWHN,
614,guest_room,Room 614,6,TQNN,
615,guest_room,Room 615,6,KNGN,
616,guest_room,Room 616,6,KWHN,
617,guest_room,Room 617,6,TQNN,
618,guest_room,Room 618,6,KNGN,
619,guest_room,Room 619,6,KWHN,
620,guest_room,Room 620,6,KSTE,
